Taxon	Taxon Level	Function	Type	growth morphology	Likelihood	Notes	Citation/Source
Acanthorus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthosphaeria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthostigma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthostigmella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthostigmina	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthothecis	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Acanthotrema	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acarella	7	Biotroph	Endophyte		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acaroconium puntiforme	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Acaromyces	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Acarospora	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Acarosporina	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acarosporium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acaulopage	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acaulospora	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Acaulosporaceae	6	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Acephala	7	Symbiotroph	Ectomycorrhizal		Possible		"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (ECM/Not ECM)"
Acerviclypeatus	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acervus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Achaetobotrys	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Achaetomium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Achlya conspicua	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Achlya klebsiana	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Achorodothis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Achroomyces	7	Biotroph|Saprotroph	Plant Pathogen|Saprobic		Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Achrotelium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acia	7	Saprotroph			Probable	 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aciculoconidium	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Aciculopsora	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aciculosporium	7	Biotroph	Endophyte		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acidomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aciesia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acitheca	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acladium	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acleistia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acolium	7	Symbiotroph	Lichenized		Highly Probable		"Kirk PM, Cannon PF, Minter DW, Stalpers JA. 2008. Dictionary of the Fungi (10th ed.) Wallingford, CABI"
Acompsomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acremonium	7	Biotroph	Plant Pathogen|Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acremonium crotocinigenum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acremonium fungicola	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Acremonium strictum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acremonium tulasnei	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Acrocalymma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrocalymma medicaginis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acroconidiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrocordia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Acrocordiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrocordiopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrocylindrium oryzae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrodontium simplex	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrogenospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrogynomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrophialophora fusispora	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acroscyphus	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Acrospermoides	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrospermum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrosporium	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Acrosporium tingitaninum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrostalagmus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acrostroma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actidiographium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actidium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actiniceps	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actinocymbe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actinogyra	7	Symbiotroph	Lichenized		Highly Probable	Syn. Umbilicaria	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Actinomucor	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actinomyxa	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actinopeltis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actinoplaca	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actinosporella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Actonia	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Acurtis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Adelococcus	7	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Adelolecia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Adelphella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aderkomyces	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Adisciso	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Adustomyces	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidiconium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidiolum	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidium campanulastri	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium cannabis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium cantensis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium caspicum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium clematidis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium foeniculi	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aeciure	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aegerita	7	Saprotroph			Probable	 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aegeritina	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aegeritopsis	7	Saprotroph			Probable	 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aeruginoscyphus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aeruginospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aessosporon	7	Biotroph	Mycoparasite	Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Afroboletus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Afrocantharellus	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agaricochaete	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agaricostilbum	7	Saprotroph		Facultative yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Agaricus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aglaospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agonimia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Agrestia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Circinaria	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Agrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agrogaster	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agyrium	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Agyrophora	7	Symbiotroph	Lichenized		Highly Probable	Syn. Umbilicaria	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ahlesia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Ahlesia	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ahmadiago	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ahtiana	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ainoa	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aithaloderma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aivenia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aizoago	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ajellomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Akanthomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alatospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albahypha	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Albatrellopsis	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albatrellus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Albertiniella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alboleptonia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albonectria	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albosynnema	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albotricha	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albugo candida	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo cruciferarum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo ipomoeae-panduratae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo ipomoeaepanduratae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo occidentalis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo tragopogonis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aldona	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aldonata	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alectoria	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Aleuria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurina	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurobotrys	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurocystidiellum	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurocystis	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurodiscus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleuromyces	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alina	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aliquandostipite	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantomyces	7	Symbiotroph	Animal gut		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantoparmelia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Allantoparmelia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantophomoides	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantophomopsis	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantophomopsis cytisporea	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Allantophomopsis lycopodina	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Allantoporthe	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantula	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allarthonia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Chrysothrix	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Allescheriella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allewia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allocetraria	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Allochytridium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allodus	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allonecte	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allonectella	7	Biotroph	Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allophylaria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allopsalliota	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allotelium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allothyrium	7	Biotroph	Endophyte		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Almbornia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alnicola	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Alocospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alpova	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Alternaria	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alternaria alternata	8	Biotroph	Plant Pathogen		Probable	Opportunistic pathogen 	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria arachidis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria brassicae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria brassicicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria carthami	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria cinerariae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria citri	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria cucumerina	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dauci	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dianthi	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dianthicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria euphorbiicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria gerberae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria helianthi	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria helianthicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria humuli	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria japonica	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria leucanthemi	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria limicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria linicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria macrospora	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria mali	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria padwickii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria panax	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria passiflorae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria porri	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria radicina	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria ramulosa	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria raphani	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria saponariae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria senecionis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
